School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1,Data As Of,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
THE FAMILY SCHOOL - BRONX,X,9,EXTERIOR MASONRY/ROOFS,4391000,CIP,X090,1116 SHERIDAN AVENUE,Bronx,10456,BRONX,40.831992,-73.91796,204,16,2002745,2024560100,18102,BX0401,"(40.831992, -73.91796)",18-Jan,10934,50,5,42,27
P.S. 223 - QUEENS,Q,27,WINDOWS/EXT MASONRY/PARAPETS,4565000,CIP,Q223,125-20 SUTPHIN BLVD,Queens,11434,QUEENS,40.674541,-73.789417,412,28,4261713,4120510001,18401,QN1203,"(40.674541, -73.789417)",18-Jan,24669,41,3,46,71
FRANCIS LEWIS HS - QUEENS,Q,26,WATER PENETRATION,1469000,CIP,Q430,58-20 UTOPIA PKWY,Queens,11365,QUEENS,40.740724,-73.79283,411,20,4148763,4068820001,1417,QN1101,"(40.740724, -73.79283)",18-Jan,14507,26,3,3,69
P.S. 158 - BROOKLYN,K,19,ENY AUDITORIUM UPGRADE,227786,CIP,K158,400 ASHFORD STREET,Brooklyn,11207,BROOKLYN,40.672579,-73.884803,305,42,3089176,3040150001,1150,BK0502,"(40.672579, -73.884803)",18-Jan,17214,45,2,37,47
BROOKLYN GENERATION SCHOOL - K,K,18,ATHLETIC FIELD - TRACK,1618000,CIP,K516,6565 FLATLANDS AVENUE,Brooklyn,11236,BROOKLYN,40.633285,-73.916735,318,46,3224139,3079980005,950,BK1803,"(40.633285, -73.916735)",18-Jan,13827,5,2,8,42
P.S. 152 - MANHATTAN,M,6,ELECTRICAL SYSTEMS,777711,CIP,M152,93 NAGLE AVENUE,Manhattan,10040,MANHATTAN,40.860412,-73.927936,112,10,1064149,1021730001,283,MN1202,"(40.860412, -73.927936)",18-Jan,13098,47,4,39,22
P.S. 102 - QUEENS,Q,24,ADA UPGRADE,2777000,CIP,Q102,55-24 VAN HORN STREET,Queens,11373,QUEENS,40.733514,-73.877857,404,30,4437597,4028790031,479,QN0401,"(40.733514, -73.877857)",18-Jan,14784,66,3,5,68
P.S. 2 - QUEENS,Q,30,FY15 RESO A ACCESSIBILITY,598025,CIP,Q002,75-10 21 AVENUE,Queens,11370,QUEENS,40.770335,-73.894476,401,22,4021375,4009710001,317,QN0101,"(40.770335, -73.894476)",18-Jan,14781,39,3,4,72
P.S. 131 - QUEENS,Q,29,ROOFS/EXT MASONRY/PARAPETS,5688000,CIP,Q131,170-45 84TH AVENUE,Queens,11432,QUEENS,40.716617,-73.794637,408,24,4211112,4098750001,456,QN0805,"(40.716617, -73.794637)",18-Jan,24340,25,3,24,65
ABRAHAM LINCOLN HS - BROOKLYN,K,21,SANDY: INTERIOR/VENT/ELEC/FLOOD/ATHLETIC FIELD,39842974,CIP,K411,2800 OCEAN PARKWAY,Brooklyn,11235,BROOKLYN,40.581681,-73.967308,313,47,3196293,3072540001,354,BK1302,"(40.581681, -73.967308)",18-Jan,13826,21,2,45,35
K077 SPED - BROOKLYN,K,23,ROOFS/FLOOD/PARAPETS/EXT MASONRY/WINDOWS/LEAD SVC,6927000,CIP,K178,2163 DEAN STREET,Brooklyn,11233,BROOKLYN,40.675024,-73.915778,316,41,3038718,3014400056,303,BK1601,"(40.675024, -73.915778)",18-Jan,13516,55,2,17,46
